epsilon_p [%]	VEC [e-]	gamma_s  [mJ/m2]	gamma_us [mJ/m2]	a0 [Å]	Ecoh [eV/atom]	gocc/gbond	dip
4	6.35	3114	1119	2.948	-10.46	1.065	0.035
4	4.6	2069	550	3.328	-9.04	0.921	0.018
1	5.6	2742	1210	3.164	-11.05	0.973	0.021
6	5.25	2489	664	3.133	-9.49	0.885	0.013
4	5.5	2615	732	3.078	-9.81	0.918	0.014
5	5.25	2565	685	3.13	-9.94	0.899	0.021
10	4.8	2304	729	3.216	-8.81	0.858	0.015
16	4.75	2153	682	3.267	-8.81	0.842	0.018
50	4.55	1978	471	3.374	-9.69	0.783	0.015
11	4.73	2073	541	3.335	-9.55	0.845	0.013
15	4.67	2051	560	3.353	-9.81	0.849	0.021
6	5.2	2444	572	3.283	-11.15	0.894	0.023
29	4.55	1982	487	3.348	-9.27	0.785	0.015
21	4.6	1996	601	3.365	-9.45	0.828	0.014
16	4.55	2147	550	3.382	-9.31	0.825	0.012
50	4.4	1888	476	3.405	-9.58	0.728	0.011
34	4.5	1900	490	3.442	-9.99	0.775	0.02
50	4.4	1895	576	3.356	-8.93	0.754	0.019
50	4.25	1779	523	3.434	-9.02	0.741	0.012
50	4.25	1856	489	3.433	-9.41	0.731	0.029
50	4.58	1772	454	3.33	-8.9	0.775	0.013
50	6.27	2872	1109	3.138	-11.31	1.106	0.053
27	4.95	2024	549	3.309	-9.1	0.81	0.011
8	5.08	2163	692	3.272	-9.45	0.866	0.012
4	5.8	2680	955	3.206	-11.77	0.987	0.028
5	5.33	2404	675	3.255	-11.04	0.909	0.02
26	5	2266	735	3.245	-10.18	0.823	0.011
6	5.22	2140	1105	3.228	-11.13	0.928	0.022
25	5	2283	693	3.201	-9.97	0.826	0.015
6	5.17	2449	760	3.192	-10.45	0.893	0.013
11	5.2	2468	675	3.227	-10.84	0.86	0.02
12	4.8	2115	699	3.316	-9.84	0.855	0.014
8	5.25	2392	713	3.192	-10.46	0.883	0.015
5	5.4	2568	768	3.191	-11.05	0.91	0.02
3	5.5	2622	726	3.227	-11.58	0.93	0.022
14	5.2	2400	694	3.297	-10.8	0.854	0.017
6	5	2245	560	3.226	-9.64	0.899	0.008
19	5	2272	725	3.167	-9.47	0.841	0.011
23	4.83	1932	625	3.255	-8.95	0.827	0.02
32	4.8	2120	625	3.264	-9.19	0.814	0.015
30	4.75	2062	574	3.319	-9.32	0.814	0.014
5	6	2843	1033	3.178	-12.14	1.021	0.043
50	6.33	3014	1142	3.143	-12.07	1.127	0.062
9	5	2348	678	3.165	-9.91	0.878	0.035
33	4.67	2069	534	3.29	-9.87	0.789	0.015
30	4.75	2138	595	3.22	-9.59	0.793	0.015
20	5	2367	689	3.209	-10.33	0.836	0.015
30	4.6	2014	671	3.305	-9.33	0.821	0.016
14	5	2370	572	3.252	-10.71	0.853	0.021
6	5.25	2496	814	3.204	-10.98	0.889	0.021
50	4.5	1936	549	3.303	-8.73	0.771	0.015
50	4.33	1796	498	3.388	-8.72	0.758	0.01
50	5.9	2955	1274	3.197	-12.72	1.087	0.055
50	6.1	3238	1580	3.164	-12.99	1.029	0.053
