Sl.No.,Cr,Ti,V,W,beta_transus,solidus,delta,VEC,BSD,epsilon_p
1,40,0,25,35,962.45,2159.14,1196.69,5.75,0.992,0
2,45,0,20,35,1063.14,2136.93,1073.79,5.8,1.002,0
3,15,0,40,45,829.3,2278.59,1449.29,5.6,0.963,0
4,40,0,15,45,1208.13,2232.42,1024.29,5.85,1.011,0
5,10,0,50,40,779.23,2190.58,1411.35,5.5,0.944,3.381
6,50,0,15,35,1175.68,2112.89,937.21,5.85,1.011,0
7,35,0,30,35,878.57,2175.3,1296.73,5.7,0.982,0
8,15,0,45,40,784.38,2214.45,1430.07,5.55,0.954,2.857
9,5,0,10,85,952.32,2922.41,1970.09,5.9,1.021,0
10,5,0,55,40,783.45,2165.3,1381.85,5.45,0.935,3.79
11,10,0,45,45,810.33,2250.34,1440.01,5.55,0.954,2.857
12,10,0,30,60,921.27,2463.2,1541.93,5.7,0.982,0
13,25,0,15,60,1193.37,2458.88,1265.51,5.85,1.011,0
14,10,0,40,50,842.72,2315.75,1473.03,5.6,0.963,0
15,10,0,15,75,912.35,2716.94,1804.59,5.85,1.011,0
16,15,0,35,50,879.28,2346.65,1467.37,5.65,0.973,0
17,5,0,20,75,748.06,2689.87,1941.81,5.8,1.002,0
18,15,0,50,35,743.36,2154.81,1411.45,5.5,0.944,3.381
19,25,0,35,40,842.51,2242.28,1399.77,5.65,0.973,0
20,5,0,60,35,760.94,2118.23,1357.29,5.4,0.925,4.157
21,20,0,30,50,932.29,2363.6,1431.31,5.7,0.982,0
22,10,0,10,80,1102.88,2806.47,1703.59,5.9,1.021,0
23,5,0,45,50,821.12,2276.29,1455.17,5.55,0.954,2.857
24,5,0,25,70,898.82,2588.89,1690.07,5.75,0.992,0
25,20,0,20,60,1085.65,2489.72,1404.07,5.8,1.002,0
26,15,0,25,60,995.48,2489.89,1494.41,5.75,0.992,0
27,10,0,55,35,749.02,2136.25,1387.23,5.45,0.935,3.79
28,20,0,40,40,804.15,2232.86,1428.71,5.6,0.963,0
29,20,0,45,35,749.71,2170.66,1420.95,5.55,0.954,2.857
30,35,0,20,45,1094.02,2269.17,1175.15,5.8,1.002,0
31,20,0,35,45,864.82,2297.69,1432.87,5.65,0.973,0
32,25,0,40,35,772.45,2180.76,1408.31,5.6,0.963,0
33,25,0,30,45,920.23,2303.68,1383.45,5.7,0.982,0
34,30,0,25,45,996.92,2294.11,1297.19,5.75,0.992,0
35,30,0,35,35,814.91,2182.7,1367.79,5.65,0.973,0
36,45,0,15,40,1196.3,2169.69,973.39,5.85,1.011,0
37,30,0,30,40,901.87,2240.16,1338.29,5.7,0.982,0
38,5,0,40,55,838.88,2341.93,1503.05,5.6,0.963,0
39,5,0,50,45,801.95,2217.7,1415.75,5.5,0.944,3.381
40,5,0,35,60,857.29,2415.44,1558.15,5.65,0.973,0
41,10,0,25,65,965.28,2544.27,1578.99,5.75,0.992,0
42,30,0,20,50,1099.26,2341.27,1242.01,5.8,1.002,0
43,15,0,30,55,934.8,2417.57,1482.77,5.7,0.982,0
44,25,0,20,55,1097.15,2415.5,1318.35,5.8,1.002,0
45,15,0,15,70,1121.54,2630.65,1509.11,5.85,1.011,0
46,35,0,25,40,982.5,2225.71,1243.21,5.75,0.992,0
47,40,0,20,40,1082.09,2200.76,1118.67,5.8,1.002,0
48,30,0,15,55,1207.12,2377.57,1170.45,5.85,1.011,0
49,10,0,20,70,999.69,2629.2,1629.51,5.8,1.002,0
50,25,0,25,50,1005.49,2362.46,1356.97,5.75,0.992,0
